Options:
Model:                           MultiState
Tree File Name:                  Artiodactyl.trees
Data File Name:                  Artiodactyl.txt
Log File Name:                   Artiodactyl.txt.log.txt
Summary:                         False
Seed                             4032721794
Analsis Type:                    Maximum Likelihood
ML attempt per tree:             10
Precision:                       64 bits
Cores:                           1
No of Rates:                     2
Base frequency (PI's)            None
Character Symbols:               D,G
Using a covarion model:          False
Restrictions:
    qDG                          None
    qGD                          None
Tree Information
     Trees:                      500
     Taxa:                       17
     Sites:                      1
     States:                     2
Tree No	Lh	qDG	qGD	Root P(D)	Root P(G)	
217	-7.811448	6.823076	5.651246	0.234335	0.765665	
218	-7.635698	5.214970	5.384228	0.134577	0.865423	
219	-7.499049	7.856679	5.533596	0.311761	0.688239	
220	-7.788540	6.279542	5.990476	0.219534	0.780466	
221	-8.117126	7.726592	6.419654	0.312114	0.687886	
222	-7.700361	5.964500	6.661101	0.172324	0.827676	
223	-7.675914	6.570974	6.234103	0.206800	0.793200	
224	-7.300128	8.590451	7.578973	0.242885	0.757115	
225	-7.382048	6.133746	5.601273	0.276449	0.723551	
226	-7.885724	5.398802	4.946381	0.227750	0.772250	
227	-7.821202	6.035717	5.631387	0.219285	0.780715	
228	-8.070031	5.770958	4.759258	0.226788	0.773212	
229	-7.300005	6.082839	5.282376	0.209885	0.790115	
230	-8.312138	6.808588	6.020229	0.278375	0.721625	
231	-8.220223	5.741208	5.866364	0.290337	0.709663	
232	-7.234572	5.949350	4.758111	0.196684	0.803316	
233	-7.461235	6.954168	5.902661	0.200444	0.799556	
234	-7.753108	6.445785	5.724216	0.242314	0.757686	
235	-7.916968	7.631115	5.846139	0.359396	0.640604	
236	-7.827073	8.431571	6.230197	0.327487	0.672513	
237	-7.750603	5.337626	5.349429	0.138082	0.861918	
238	-7.765792	5.855964	4.333279	0.242221	0.757779	
239	-7.639069	7.446049	5.818110	0.327179	0.672821	
240	-7.473521	5.858151	5.322096	0.180169	0.819831	
241	-7.253533	5.760194	4.833189	0.186497	0.813503	
242	-7.485485	5.049143	5.594692	0.138167	0.861833	
243	-7.387409	6.009538	5.224141	0.302300	0.697700	
244	-7.891502	6.396276	6.291158	0.213382	0.786618	
245	-7.615434	6.666389	6.093908	0.258471	0.741529	
246	-7.965977	7.230351	5.359035	0.302349	0.697651	
247	-8.238656	6.534328	6.176447	0.236091	0.763909	
248	-8.009474	6.616017	6.278019	0.206433	0.793567	
249	-8.077362	9.530693	7.156395	0.333929	0.666071	
250	-7.623686	5.128034	4.688649	0.186277	0.813723	
251	-8.091668	8.110688	7.245009	0.283046	0.716954	
252	-7.494936	6.010593	4.770111	0.258079	0.741921	
253	-7.972066	7.815889	6.499115	0.248431	0.751569	
254	-8.119898	6.782569	5.901809	0.286387	0.713613	
255	-7.579156	7.031320	5.900471	0.240400	0.759600	
256	-7.810935	6.406102	5.640508	0.248629	0.751371	
257	-7.581153	7.214456	6.579333	0.282115	0.717885	
258	-7.574578	5.977870	6.334588	0.198880	0.801120	
259	-8.035331	7.816129	6.925495	0.233726	0.766274	
260	-8.225718	6.965254	6.202144	0.340517	0.659483	
261	-7.666301	5.547743	5.205349	0.198053	0.801947	
262	-7.573377	7.034329	6.068778	0.288202	0.711798	
263	-7.955497	6.839285	5.566565	0.244448	0.755552	
264	-7.542449	9.675573	6.426704	0.352306	0.647694	
265	-7.515196	7.565191	5.858577	0.293203	0.706797	
266	-7.848034	6.809532	4.992112	0.296468	0.703532	
267	-7.252550	4.518178	4.969590	0.127151	0.872849	
268	-7.882582	5.331814	5.674563	0.172494	0.827506	
